Time,Rx_ID,Rx_Delay,Rx_Gap,Inst_Tp,LossRate
1.161,1,0.004,0,461.671,0
1.175,2,0.004,0.014,38285.7,0
1.175,3,0.004,0,76571.4,0
1.189,4,0.004,0.014,52285.7,0
1.189,5,0.004,0,71428.6,0
1.203,6,0.004,0.014,58666.7,0
1.209,7,0.004,0.006,62500,0
1.223,8,0.004,0.014,55871,0
1.229,9,0.004,0.006,58823.5,0
1.248,10,0.004,0.019,51310.3,0
1.249,11,0.004,0.001,56818.2,0
1.262,12,0.004,0.013,54099,0
1.275,13,0.004,0.013,41230.8,0
1.289,14,0.004,0.014,37037,0
1.289,15,0.004,0,56888.9,0
1.303,16,0.004,0.014,48780.5,0
1.309,17,0.004,0.006,53957.4,0
1.335,18,0.004,0.026,41095.9,0
1.335,19,0.004,0,48438.4,0
1.355,20,0.004,0.02,43010.8,0
1.355,21,0.004,0,48774.2,0
1.369,22,0.004,0.014,46729,0
1.369,23,0.004,0,0,0
1.383,24,0.004,0.014,71428.6,0
1.389,25,0.004,0.006,76800,0
1.403,26,0.004,0.014,58823.5,0
1.409,27,0.004,0.006,63400,0
1.429,28,0.004,0.02,50000,0
1.43,29,0.004,0.001,57967.2,0
1.443,30,0.004,0.013,54054.1,0
1.449,31,0.004,0.006,56700,0
1.463,32,0.004,0.014,53191.5,0
1.469,33,0.004,0.006,55360,0
1.483,34,0.004,0.014,33142.9,0
1.489,35,0.004,0.006,50000,0
1.508,36,0.004,0.019,37538.5,0
1.509,37,0.004,0.001,50000,0
1.528,38,0.004,0.019,41762.7,0
1.529,39,0.004,0.001,50000,0
1.542,40,0.004,0.013,47452.1,0
1.549,41,0.004,0.007,50000,0
1.575,42,0.004,0.026,42113.2,0
1.575,43,0.004,0,0,0
1.589,44,0.004,0.014,71428.6,0
1.589,45,0.004,0,109714,0
1.609,46,0.004,0.02,58823.5,0
1.616,47,0.004,0.007,61853.7,0
1.629,48,0.004,0.013,56888.9,0
1.629,49,0.004,0,66814.8,0
1.643,50,0.004,0.014,58823.5,0
1.649,51,0.004,0.006,61297.3,0
1.663,52,0.004,0.014,56818.2,0
1.669,53,0.004,0.006,58893.6,0
1.695,54,0.004,0.026,50000,0
1.695,55,0.004,0,0,0
1.709,56,0.004,0.014,71428.6,0
1.709,57,0.004,0,109714,0
1.723,58,0.004,0.014,71428.6,0
1.729,59,0.004,0.006,74588.2,0
1.743,60,0.004,0.014,62500,0
1.749,61,0.004,0.006,65481.5,0
1.769,62,0.004,0.02,54054.1,0
1.77,63,0.004,0.001,60480,0
1.783,64,0.004,0.013,56818.2,0
1.789,65,0.004,0.006,58893.6,0
1.809,66,0.004,0.02,52631.6,0
1.81,67,0.004,0.001,536000,0
1.829,68,0.004,0.019,50000,0
1.829,69,0.004,0,76800,0
1.843,70,0.004,0.014,58823.5,0
1.849,71,0.004,0.006,63400,0
1.869,72,0.004,0.02,50000,0
1.87,73,0.004,0.001,57967.2,0
1.883,74,0.004,0.013,54054.1,0
1.889,75,0.004,0.006,56700,0
1.903,76,0.004,0.014,53191.5,0
1.909,77,0.004,0.006,55360,0
1.929,78,0.004,0.02,23200,0
1.929,79,0.004,0,50000,0
1.943,80,0.004,0.014,43058.8,0
1.949,81,0.004,0.006,50000,0
1.969,82,0.004,0.02,41066.7,0
1.969,83,0.004,0,50000,0
1.983,84,0.004,0.014,46810.8,0
1.989,85,0.004,0.006,50000,0
2.009,86,0.004,0.02,44640,0
2.009,87,0.004,0,0,0
2.023,88,0.004,0.014,71428.6,0
2.029,89,0.004,0.006,76800,0
2.049,90,0.004,0.02,50000,0
2.05,91,0.004,0.001,61853.7,0
2.069,92,0.004,0.019,50000,0
2.069,93,0.004,0,58933.3,0
2.083,94,0.004,0.014,54054.1,0
2.089,95,0.004,0.006,56700,0
2.109,96,0.004,0.02,50000,0
2.11,97,0.004,0.001,536000,0
2.123,98,0.004,0.013,71428.6,0
2.135,99,0.004,0.012,59076.9,0
2.149,100,0.004,0.014,50000,0
2.149,101,0.004,0,63400,0
2.163,102,0.004,0.014,55555.6,0
2.169,103,0.004,0.006,58933.3,0
2.189,104,0.004,0.02,50000,0
2.189,105,0.004,0,56700,0
2.203,106,0.004,0.014,53191.5,0
2.215,107,0.004,0.012,52226.4,0
2.235,108,0.004,0.02,23200,0
2.235,109,0.004,0,50000,0
2.249,110,0.004,0.014,43058.8,0
2.249,111,0.004,0,58823.5,0
2.263,112,0.004,0.014,51333.3,0
