Time,Rx_ID,Rx_Delay,Rx_Gap,Inst_Tp,LossRate
1.13,1,0.004,0,474.336,0
1.156,2,0.004,0.026,20615.4,0
1.156,3,0.004,0,41230.8,0
1.17,4,0.004,0.014,40200,0
1.17,5,0.004,0,53600,0
1.184,6,0.004,0.014,45629.6,0
1.184,7,0.004,0,55555.6,0
1.204,8,0.004,0.02,46810.8,0
1.204,9,0.004,0,54054.1,0
1.218,10,0.004,0.014,50727.3,0
1.224,11,0.004,0.006,53191.5,0
1.244,12,0.004,0.02,47929.8,0
1.245,13,0.004,0.001,536000,0
1.264,14,0.004,0.019,50000,0
1.265,15,0.004,0.001,73142.9,0
1.278,16,0.004,0.013,58823.5,0
1.284,17,0.004,0.006,63400,0
1.298,18,0.004,0.014,55555.6,0
1.304,19,0.004,0.006,58933.3,0
1.318,20,0.004,0.014,54054.1,0
1.324,21,0.004,0.006,56700,0
1.343,22,0.004,0.019,50505.1,0
1.344,23,0.004,0.001,55360,0
1.357,24,0.004,0.013,35692.3,0
1.364,25,0.004,0.007,50000,0
1.378,26,0.004,0.014,43058.8,0
1.384,27,0.004,0.006,50000,0
1.404,28,0.004,0.02,42266.7,0
1.404,29,0.004,0,51200,0
1.418,30,0.004,0.014,46810.8,0
1.424,31,0.004,0.006,50000,0
1.438,32,0.004,0.014,47489.4,0
1.444,33,0.004,0.006,50000,0
1.458,34,0.004,0.014,33142.9,0
1.464,35,0.004,0.006,50000,0
1.478,36,0.004,0.014,43058.8,0
1.484,37,0.004,0.006,50000,0
1.504,38,0.004,0.02,41066.7,0
1.504,39,0.004,0,50000,0
1.524,40,0.004,0.02,43300,0
1.524,41,0.004,0,50000,0
1.544,42,0.004,0.02,44640,0
1.544,43,0.004,0,0,0
1.558,44,0.004,0.014,71428.6,0
1.57,45,0.004,0.012,59076.9,0
1.584,46,0.004,0.014,50000,0
1.584,47,0.004,0,63400,0
1.598,48,0.004,0.014,55555.6,0
1.604,49,0.004,0.006,58933.3,0
1.624,50,0.004,0.02,50000,0
1.624,51,0.004,0,56700,0
1.638,52,0.004,0.014,53191.5,0
1.644,53,0.004,0.006,55360,0
1.664,54,0.004,0.02,23200,0
1.664,55,0.004,0,50000,0
1.684,56,0.004,0.02,36600,0
1.685,57,0.004,0.001,48780.5,0
1.698,58,0.004,0.013,45629.6,0
1.716,59,0.004,0.018,41666.7,0
1.724,60,0.004,0.008,44200,0
1.724,61,0.004,0,50900,0
1.738,62,0.004,0.014,47489.4,0
1.744,63,0.004,0.006,50000,0
1.758,64,0.004,0.014,33142.9,0
1.764,65,0.004,0.006,50000,0
1.778,66,0.004,0.014,43058.8,0
1.784,67,0.004,0.006,50000,0
1.804,68,0.004,0.02,42266.7,0
1.804,69,0.004,0,51200,0
1.818,70,0.004,0.014,46810.8,0
1.824,71,0.004,0.006,50000,0
1.838,72,0.004,0.014,47489.4,0
1.844,73,0.004,0.006,50000,0
1.863,74,0.004,0.019,24421.1,0
1.864,75,0.004,0.001,50000,0
1.877,76,0.004,0.013,44363.6,0
1.884,77,0.004,0.007,50000,0
1.898,78,0.004,0.014,45629.6,0
1.904,79,0.004,0.006,50000,0
1.918,80,0.004,0.014,46810.8,0
1.924,81,0.004,0.006,50000,0
1.944,82,0.004,0.02,44640,0
1.944,83,0.004,0,0,0
1.958,84,0.004,0.014,71428.6,0
1.964,85,0.004,0.006,76800,0
1.983,86,0.004,0.019,51282.1,0
1.984,87,0.004,0.001,63400,0
1.997,88,0.004,0.013,56603.8,0
2.01,89,0.004,0.013,53575.8,0
2.024,90,0.004,0.014,50000,0
2.024,91,0.004,0,56700,0
2.044,92,0.004,0.02,50000,0
2.044,93,0.004,0,0,0
2.058,94,0.004,0.014,71428.6,0
2.064,95,0.004,0.006,76800,0
2.09,96,0.004,0.026,45043.5,0
2.09,97,0.004,0,56695.7,0
2.104,98,0.004,0.014,50000,0
2.104,99,0.004,0,58933.3,0
2.118,100,0.004,0.014,54054.1,0
2.124,101,0.004,0.006,56700,0
2.138,102,0.004,0.014,53191.5,0
2.144,103,0.004,0.006,55360,0
2.164,104,0.004,0.02,23200,0
2.164,105,0.004,0,50000,0
2.178,106,0.004,0.014,43058.8,0
2.184,107,0.004,0.006,50000,0
2.198,108,0.004,0.014,45629.6,0
2.204,109,0.004,0.006,50000,0
2.218,110,0.004,0.014,46810.8,0
2.224,111,0.004,0.006,50000,0
2.238,112,0.004,0.014,47489.4,0
2.244,113,0.004,0.006,50000,0
2.258,114,0.004,0.014,33142.9,0
2.264,115,0.004,0.006,50000,0
2.284,116,0.004,0.02,36600,0
2.284,117,0.004,0,50000,0
2.298,118,0.004,0.014,45629.6,0
2.304,119,0.004,0.006,50000,0
2.323,120,0.004,0.019,43848.1,0
2.324,121,0.004,0.001,50000,0
2.337,122,0.004,0.013,48000,0
2.344,123,0.004,0.007,50000,0
2.358,124,0.004,0.014,33142.9,0
2.364,125,0.004,0.006,50000,0
2.384,126,0.004,0.02,36600,0
2.391,127,0.004,0.007,42553.2,0
2.404,128,0.004,0.013,42266.7,0
2.404,129,0.004,0,51200,0
2.418,130,0.004,0.014,46810.8,0
2.424,131,0.004,0.006,50000,0
2.438,132,0.004,0.014,47489.4,0
2.45,133,0.004,0.012,47169.8,0
2.47,134,0.004,0.02,26800,0
2.47,135,0.004,0,53600,0
2.484,136,0.004,0.014,47294.1,0
2.484,137,0.004,0,63058.8,0
2.498,138,0.004,0.014,51333.3,0
2.504,139,0.004,0.006,55555.6,0
2.518,140,0.004,0.014,50941.2,0
2.53,141,0.004,0.012,50000,0
2.544,142,0.004,0.014,47489.4,0
2.544,143,0.004,0,53191.5,0
2.57,144,0.004,0.026,45533.3,0
2.57,145,0.004,0,0,0
2.584,146,0.004,0.014,71428.6,0
2.584,147,0.004,0,109714,0
2.598,148,0.004,0.014,71428.6,0
2.604,149,0.004,0.006,74588.2,0
2.618,150,0.004,0.014,62500,0
2.624,151,0.004,0.006,65481.5,0
2.638,152,0.004,0.014,58823.5,0
2.644,153,0.004,0.006,61297.3,0
2.658,154,0.004,0.014,56818.2,0
2.664,155,0.004,0.006,58893.6,0
2.678,156,0.004,0.014,55555.6,0
2.684,157,0.004,0.006,89333.3,0
2.698,158,0.004,0.014,50000,0
2.704,159,0.004,0.006,59076.9,0
2.718,160,0.004,0.014,50000,0
2.73,161,0.004,0.012,48769.2,0
2.744,162,0.004,0.014,45454.5,0
2.744,163,0.004,0,53575.8,0
2.758,164,0.004,0.014,50000,0
2.764,165,0.004,0.006,52744.2,0
